Year,Quarter,FY,Type,CorpFoundation,Government,MajorGifts,Marketplace
2015,3,FY16,Actual,26113223,,,12979213
2015,4,FY16,Actual,10542316,,,14970459
2016,1,FY16,Actual,17581445,,,11825451
2016,2,FY16,Actual,4207783,,,7731495
2016,3,FY17,Actual,25073644,,,18656498
2016,4,FY17,Actual,20966596,,,18345109
2017,1,FY17,Actual,5377960,,,16486295
2017,2,FY17,Actual,10258389,,,8762668
2017,3,FY18,Actual,28244815,,,20163584
2017,4,FY18,Actual,12180973,,,20060098
2018,1,FY18,Actual,36670529,,,15861848
2018,2,FY18,Actual,10890081,,,14137850
2018,3,FY19,Actual,24958974,,,26539995
2018,4,FY19,Actual,19358676,,,21018056
2019,1,FY19,Actual,11058082,,,16310246
2019,2,FY19,Actual,14585593,,,14082528
2019,3,FY20,Actual,18976826,,,27076805
2019,4,FY20,Actual,15120546,,,23919797
2020,1,FY20,Actual,10958339,,,16245225
2020,2,FY20,Actual,20641269,,,13312162
2020,3,FY21,Actual,20440525,,,27314853
2020,4,FY21,Actual,12807213,1323058,,20327513
2021,1,FY21,Actual,12827049,0,,13918775
2021,2,FY21,Actual,24946872,0,,12351137
2021,3,FY22,Actual,29279378,9500000,,25858985
2021,4,FY22,Actual,23566669,12000000,,23632024
2022,1,FY22,Actual,5836889,19853885,,17342521
2022,2,FY22,Actual,15621538,0,,16799110
2022,3,FY23,Actual,33495576,6273011,,27499516
2022,4,FY23,Actual,13571953,8000000,,22964378
2023,1,FY23,Actual,8393645,0,,14628299
2023,2,FY23,Actual,18122507,0,,13199584
2023,3,FY24,Actual,19250149,32981735,,25623559
2023,4,FY24,Actual,17999888,17580665,,21021427
2024,1,FY24,Actual,9819691,0,,13898168
2024,2,FY24,Actual,15229442,3000000,241200,12819170
2024,3,FY25,Actual,14376289,5459977,219060,25830830
2024,4,FY25,Actual,11148018,0,871460,19816039
2025,1,FY25,Actual,9313853,0,1262075,14859150
2025,2,FY25,Actual,24396354,3000000,1745000,12966301
2025,3,FY26,Actual,20433157,0,810000,25068954
2025,4,FY26,Actual,8921526,212500,546900,19457618
2026,1,FY26,Actual,11976994.72,10500000,986250,11695087.65
2026,2,FY26,Actual,16553946.28,2787500,825000,12652674.35
2026,3,FY27,Forecast,12675000,0,0,23800000
