Year,Quarter,CorpFoundation,Government,MajorGifts,Marketplace,CorpFoundation_YOY%,Government_YOY%,MajorGifts_YOY%,Marketplace_YOY%
2015,3,26113222.71,,,12979212.89,,,,
2015,4,10542315.53,,,14970459.28,,,,
2016,1,17581445.26,,,11825451.02,,,,
2016,2,4207782.92,,,7731494.88,,,,
2016,3,25073644.23,,,18656498.42,,,,
2016,4,20966595.63,25000,,18345109.04,,,,
2017,1,5377960.34,,,16486294.75,,,,
2017,2,10258388.95,,,8762667.72,,,,
2017,3,28244815.27,,,20163584.14,0.129649819,,,0.198814892
2017,4,12180973.43,,,20060098.26,,,,
2018,1,36670529.38,,,15861847.72,0.570393944,,,0.059275343
2018,2,10890080.7,,,14137849.51,,,,
2018,3,24958974,,,26539994.56,0.306144688,,,0.201421057
2018,4,19358675.58,,,21018056.16,,,,
2019,1,11058082.32,,,16310245.76,-0.241416807,,,0.202903837
2019,2,14585593.23,,,14082527.85,,,,
2019,3,18976825.96,,,27076805.37,-0.244642787,,,0.024645565
2019,4,15120545.88,,,23919796.82,,,,
2020,1,10958338.64,,,16245224.63,-0.099968726,,,0.042537785
2020,2,20641269.41,,,13312161.98,,,,
2020,3,20440524.73,,,27314853.49,0.049727141,,,0.029360061
2020,4,12807213.45,1323057.65,,20327513.29,,,,
2021,1,12827049.24,,,13918774.65,0.118621705,,,-0.079324961
2021,2,24946871.68,,,12351136.98,,,,
2021,3,29279377.92,9500000,,25858984.55,0.189096267,,,-0.103173874
2021,4,23566669.32,12000000,,23632024.11,,,,
2022,1,5836889.45,19853884.96,,17342520.59,0.253518453,,,0.05758211
2022,2,15621538.4,,,16799109.82,,,,
2022,3,33495575.77,6273011.04,,27499515.69,-0.016777245,2.522747197,,0.176889261
2022,4,13571953.45,8000000,,22964378.25,,,,
2023,1,8393645.3,,,14628299.01,-0.150031379,-0.654856828,,0.034181322
2023,2,18122506.89,,,13199584.05,,,,
2023,3,19250149.25,32981735.46,,25623558.84,-0.244297678,0.074877311,,-0.103870303
2023,4,17999888.3,17580664.93,,21021426.97,,,,
2024,1,9819691.28,,,13898167.99,-0.082867929,2.542518131,,-0.099504644
2024,2,15229441.78,3000000,241200,12819169.96,,,,
2024,3,14376289.02,5459977,219060,25830829.81,-0.032237964,-0.364579327,,-0.037246547
2024,4,11148017.96,,871459.91,19816039.25,,,,
2025,1,9313853.4,,1262075,14859149.5,-0.232000535,-0.832682449,,-0.005662243
2025,2,24396353.76,3000000,1745000,12966300.75,,,,
2025,3,23499209.97,3000000,810000,25121097.55,0.190371191,-0.769590933,9.18670949,-0.01096931
