Year,Month,Quarter,Team,Amount,Count
2003,6,2,CorpFoundation,25000,1
2003,7,3,CorpFoundation,60000,2
2003,8,3,CorpFoundation,12500,1
2003,9,3,CorpFoundation,50000,1
2003,10,4,CorpFoundation,25000,1
2003,12,4,CorpFoundation,86000,3
2004,1,1,CorpFoundation,102000,2
2004,2,1,CorpFoundation,252000,4
2004,3,1,CorpFoundation,115000,2
2004,5,2,CorpFoundation,65000,2
2004,6,2,CorpFoundation,126566.35,1
2004,7,3,CorpFoundation,75300,4
2004,8,3,CorpFoundation,601000,10
2004,9,3,CorpFoundation,25000,1
2004,10,4,CorpFoundation,35500,2
2004,11,4,CorpFoundation,125000,3
2004,12,4,CorpFoundation,360302.95,10
2005,1,1,CorpFoundation,420000,7
2005,2,1,CorpFoundation,75000,4
2005,3,1,CorpFoundation,958176.07,5
2005,4,2,CorpFoundation,50000,1
2005,5,2,CorpFoundation,267916.53,9
2005,6,2,CorpFoundation,311000,14
2005,7,3,CorpFoundation,92647.26,8
2005,8,3,CorpFoundation,235000,14
2005,9,3,CorpFoundation,82150,2
2005,10,4,CorpFoundation,10000,1
2005,11,4,CorpFoundation,493000,5
2005,12,4,CorpFoundation,1041457,14
2006,1,1,CorpFoundation,505000,12
2006,2,1,CorpFoundation,148500,5
2006,3,1,CorpFoundation,1050000,8
2006,4,2,CorpFoundation,232900,5
2006,5,2,CorpFoundation,268000,2
2006,6,2,CorpFoundation,1307500,20
2006,7,3,CorpFoundation,239980.75,15
2006,8,3,CorpFoundation,356633,23
2006,9,3,CorpFoundation,198000,6
2006,10,4,CorpFoundation,938788.66,17
2006,11,4,CorpFoundation,380100,10
2006,12,4,CorpFoundation,5780665,12
2007,1,1,CorpFoundation,3098591.71,21
2007,2,1,CorpFoundation,167475.75,6
2007,3,1,CorpFoundation,714594,14
2007,4,2,CorpFoundation,569500,6
2007,5,2,CorpFoundation,278165.81,7
2007,6,2,CorpFoundation,447575,8
