Team,FiscalYear,Quarter,Forecast,StdDev
CorpFoundation,2026,1,20433157,0
CorpFoundation,2026,2,8921526,0
CorpFoundation,2026,3,16055101,2673299
CorpFoundation,2026,4,18615834,3099681
CorpFoundation,2027,1,15193626,4806729
CorpFoundation,2027,2,16160829,5112717
CorpFoundation,2027,3,16350162,5172616
CorpFoundation,2027,4,17345786,5487596
CorpFoundation,2028,1,15784370,9487876
CorpFoundation,2028,2,17599540,10578963
CorpFoundation,2028,3,18500029,11120240
CorpFoundation,2028,4,18154695,10912662
CorpFoundation,2029,1,16234065,18540552
CorpFoundation,2029,2,17037313,19457922
CorpFoundation,2029,3,18549576,21185043
CorpFoundation,2029,4,17617503,20120544
Government,2026,1,3000000,0
Government,2026,2,6900000,0
Government,2026,3,1812500,583909
Government,2026,4,4522250,1456874
Government,2027,1,3093224,2989510
Government,2027,2,4295856,4151819
Government,2027,3,7462703,7212483
Government,2027,4,6061162,5857934
Government,2028,1,3980019,11539712
Government,2028,2,5331675,15458719
Government,2028,3,9502698,27552231
Government,2028,4,7885937,22864576
Government,2029,1,5217374,45381942
Government,2029,2,6834941,59451920
Government,2029,3,12032440,104660988
Government,2029,4,10440082,90810281
MajorGifts,2026,1,810000,0
MajorGifts,2026,2,486400,0
MajorGifts,2026,3,2202000,838188
MajorGifts,2026,4,2248680,855957
MajorGifts,2027,1,1459946,1111453
MajorGifts,2027,2,1886016,1435818
MajorGifts,2027,3,1832420,1395016
MajorGifts,2027,4,2221635,1691324
MajorGifts,2028,1,1895225,2885659
MajorGifts,2028,2,2276260,3465820
MajorGifts,2028,3,2361875,3596177
MajorGifts,2028,4,2860818,4355865
MajorGifts,2029,1,2343888,7137581
MajorGifts,2029,2,2996932,9126223
MajorGifts,2029,3,3044086,9269816
MajorGifts,2029,4,3666108,11163990
Marketplace,2026,1,25068954,0
Marketplace,2026,2,19457618,0
Marketplace,2026,3,13420281,638265
Marketplace,2026,4,14373138,683583
Marketplace,2027,1,16946760,1450770
Marketplace,2027,2,17148413,1468033
Marketplace,2027,3,17481070,1496511
Marketplace,2027,4,17890687,1531577
Marketplace,2028,1,16353686,2519997
Marketplace,2028,2,17366434,2676055
Marketplace,2028,3,16719842,2576420
Marketplace,2028,4,18541093,2857063
Marketplace,2029,1,16111861,4468921
Marketplace,2029,2,17180785,4765406
Marketplace,2029,3,17714778,4913519
Marketplace,2029,4,17047348,4728395
