Team,FiscalYear,Quarter,Forecast,StdDev
CorpFoundation,2026,1,23499210,0
CorpFoundation,2026,2,21500000,8764192
CorpFoundation,2026,3,14000000,5706916
CorpFoundation,2026,4,8200000,3342622
CorpFoundation,2027,1,16681143,8159818
CorpFoundation,2027,2,17743039,8679259
CorpFoundation,2027,3,17950908,8780941
CorpFoundation,2027,4,19044008,9315647
CorpFoundation,2028,1,18193963,10679802
CorpFoundation,2028,2,20286232,11907958
CorpFoundation,2028,3,21324187,12517234
CorpFoundation,2028,4,20926135,12283579
CorpFoundation,2029,1,19439289,13692966
CorpFoundation,2029,2,20401129,14370482
CorpFoundation,2029,3,22211970,15646033
CorpFoundation,2029,4,21095870,14859856
Government,2026,1,3000000,0
Government,2026,2,6900000,9268616
Government,2026,3,1800000,2417900
Government,2026,4,2000000,2686555
Government,2027,1,2610276,4908855
Government,2027,2,3625140,6817397
Government,2027,3,6297543,11843089
Government,2027,4,5114826,9618885
Government,2028,1,3358614,8842641
Government,2028,2,4499234,11845694
Government,2028,3,8019031,21112699
Government,2028,4,6654697,17520647
Government,2029,1,4402779,16228443
Government,2029,2,5767794,21259824
Government,2029,3,10153802,37426448
Government,2029,4,8810060,32473477
MajorGifts,2026,1,810000,0
MajorGifts,2026,2,1600000,1506280
MajorGifts,2026,3,1400000,1317995
MajorGifts,2026,4,1700000,1600423
MajorGifts,2027,1,1399720,1844825
MajorGifts,2027,2,1808213,2383217
MajorGifts,2027,3,1756828,2315492
MajorGifts,2027,4,2129987,2807313
MajorGifts,2028,1,1817043,3352796
MajorGifts,2028,2,2182359,4026875
MajorGifts,2028,3,2264442,4178334
MajorGifts,2028,4,2742803,5061003
MajorGifts,2029,1,2247198,5805121
MajorGifts,2029,2,2873302,7422518
MajorGifts,2029,3,2918511,7539305
MajorGifts,2029,4,3514873,9079869
Marketplace,2026,1,25121098,0
Marketplace,2026,2,22000000,3514529
Marketplace,2026,3,13500000,2156643
Marketplace,2026,4,13800000,2204568
Marketplace,2027,1,17962615,3443461
Marketplace,2027,2,18176355,3484436
Marketplace,2027,3,18528953,3552029
Marketplace,2027,4,18963124,3635260
Marketplace,2028,1,17855687,4107556
Marketplace,2028,2,18961451,4361928
Marketplace,2028,3,18255473,4199523
Marketplace,2028,4,20243997,4656967
Marketplace,2029,1,18118353,5001576
Marketplace,2029,2,19320396,5333400
Marketplace,2029,3,19920889,5499166
Marketplace,2029,4,19170341,5291977
